gene_name	cisbp_motif_id	var_explained	beta	padj	activ_or_repr
GATA1	M06396_1	7.376124340208179e-07	-0.006955882528058	1.0	repressing
GATA2	M08709_1	9.709562712734154e-07	-0.01090438740223905	1.0	repressing
GATA3	M05752_1	1.252355359748769e-06	-0.008282864451260218	1.0	repressing
GATA4	M08711_1	7.638660449726942e-07	-0.008263467755238592	1.0	repressing
GATA4	M05753_1	1.1275847838776443e-06	-0.007457129316646902	1.0	repressing
GATA5	M09589_1	1.2343192430375183e-06	-0.008954425065276125	1.0	repressing
GATA6	M08713_1	7.096245167037551e-07	-0.008944403284943371	1.0	repressing
GBX1	M05755_1	9.003227635639988e-07	-0.009547646713548429	1.0	repressing
GBX2	M05758_1	1.0190291530598472e-06	-0.008961690364192799	1.0	repressing
GCM1	M05761_1	2.7802362325690666e-06	-0.01319665204393639	1.0	repressing
GCM2	M08719_1	2.0928509716355848e-06	-0.013267680394492448	1.0	repressing
GCM2	M05762_1	2.677704516007573e-06	-0.01395369264256759	1.0	repressing
GFI1	M08721_1	6.695850330418196e-06	-0.012803851341004013	1.0	repressing
GFI1B	M08723_1	5.989216190438462e-06	-0.012531459510602177	1.0	repressing
GLI1	M04129_1	0.0	0.0	1.0	
GLI2	M05763_1	0.0015375955706125044	0.158257807361525	0.0025039918184028764	activating
GLI3	M08727_1	0.0015997000227101488	0.16427803973263827	0.0021682622464350458	activating
GLI4	M10337_1	4.554241534004966e-06	-0.013949027938791346	1.0	repressing
GLIS1	M05765_1	4.956080330686952e-06	-0.017783054573269477	1.0	repressing
GLIS1	M08729_1	0.0019406526111764855	0.19750781734072595	0.0004897868701992233	activating
GLIS2	M08731_1	0.002756267848436189	0.2729758829592457	1.2134146967093571e-05	activating
GLIS2	M08731_1	0.002756267848436189	0.2729758829592457	1.2134146967093571e-05	activating
GLIS2	M05766_1	0.003949720916805677	0.38471234584476566	1.1338998948791193e-07	activating
GLIS3	M05767_1	0.004271550908442001	0.4094796696446143	3.979475132117909e-08	activating
GMEB1	M02116_1	2.606664851412255e-06	-0.0280325547853298	1.0	repressing
GMEB1	M08733_1	4.224559028154218e-07	-0.016568540167401447	1.0	repressing
GMEB2	M05768_1	4.512305833426211e-07	-0.011935714453687855	1.0	repressing
GRHL1	M08737_1	4.778181720288543e-07	-0.009385082092079845	1.0	repressing
GRHL2	M06916_1	1.4706931668051482e-06	-0.010678520934966195	1.0	repressing
GSC	M08741_1	2.7480803099777518e-06	-0.011730716202738505	1.0	repressing
GSC2	M08743_1	1.899236079405675e-06	-0.013272379871585303	1.0	repressing
GSC2	M05776_1	1.6027363302084652e-06	-0.009946665083695069	1.0	repressing
GSX1	M08745_1	8.376725526559881e-07	-0.008258358272721313	1.0	repressing
GSX1	M05777_1	7.781211397439591e-07	-0.007053098545703984	1.0	repressing
GSX2	M08747_1	5.208292314096141e-07	-0.007418365697616822	1.0	repressing
GSX2	M05778_1	9.395855389282559e-07	-0.006402486173947367	1.0	repressing
GTF2B	M04888_1	0.0	0.0	1.0	
GTF2I	M04892_1	0.0	0.0	1.0	
GTF2I	M04891_1	0.0	0.0	1.0	
GTF2IRD1	M03749_1	0.0	0.0	1.0	
GTF3A	M10410_1	1.1969304121284274e-05	-0.01557136913620105	1.0	repressing
GZF1	M04147_1	0.0	0.0	1.0	
HAND1	M06569_1	0.003988867533893714	0.37972595885555605	1.0879020423794756e-07	activating
HAND2	M08749_1	0.001806805964931213	0.18011182171651982	0.000885547485322219	activating
HBP1	M02157_1	1.7963330486425733e-06	-0.008393644278758234	1.0	repressing
HDX	M01279_1	0.0	0.0	1.0	
HELT	M08763_1	6.308275181110545e-06	-0.02191884183822833	1.0	repressing
HELT	M08761_1	5.5857339130716e-06	-0.019767800723521644	1.0	repressing
HES1	M08751_1	8.980702689731501e-06	-0.02401966031666806	1.0	repressing
HES2	M08753_1	7.30385633762598e-06	-0.020749847588616758	1.0	repressing
HES3	M00238_1	7.745152228122443e-06	-0.022560848259833875	1.0	repressing
HES3	M08751_1	8.980702689731501e-06	-0.02401966031666806	1.0	repressing
HES4	M00238_1	7.745152228122443e-06	-0.022560848259833875	1.0	repressing
